item,keyword,Qty,Price,supplier,Barcode,batch,brand,category,5
Laptop Charger Type C,kwrd,10,165.00,Black Mamba Corp,,Batch_10001,Acer,Laptop Charger,5
Laptop Charger Type C for ROG ally Z1,kwrd,10,1165.00,ROG Ph,,Batch_0008,ROG,Laptop Charger,5
USB-C to HDMI Adapter,kwrd,15,25.00,TechWorld,,Batch_2001,Anker,Adapters,5
Wireless Mouse,kwrd,50,20.00,Clicky Co,,Batch_3002,Logitech,Accessories,5
Mechanical Keyboard,kwrd,30,75.00,KeyMasters,,Batch_4501,Razer,Keyboards,5
Gaming Headset,kwrd,25,95.00,SoundBlaster,,Batch_7801,HyperX,Headsets,5
External Hard Drive 1TB,kwrd,20,55.00,StorageKing,,Batch_5602,Seagate,Storage,5
Gaming Monitor 27",kwrd,10,299.00,DisplayTech,,Batch_3201,Asus,Monitors,5
Smartphone Tripod,kwrd,40,15.00,MobileGear,,Batch_8701,Ulanzi,Accessories,5
Bluetooth Speaker,kwrd,35,45.00,SoundWave,,Batch_9101,JBL,Speakers,5
USB Flash Drive 128GB,kwrd,60,22.00,StorageHub,,Batch_9901,SanDisk,Storage,5
Laptop Stand,kwrd,25,30.00,ErgoTech,,Batch_1103,Generic,Accessories,5
Portable SSD 512GB,kwrd,18,89.00,StorageX,,Batch_7703,WD,Storage,5
Mechanical Gaming Mouse,kwrd,40,35.00,ClickMasters,,Batch_6610,Corsair,Accessories,5
Wireless Earbuds,kwrd,50,65.00,AudioTech,,Batch_8820,Sony,Headsets,5
4K Webcam,kwrd,15,120.00,VisionGear,,Batch_2201,Logitech,Webcams,5
Laptop Cooling Pad,kwrd,20,28.00,CoolerTech,,Batch_3301,Generic,Accessories,5
USB-C Docking Station,kwrd,12,105.00,PortX,,Batch_5501,Anker,Docking Stations,5
Ergonomic Office Chair,kwrd,8,220.00,ComfortSeating,,Batch_9102,ErgoChair,Furniture,5
Dual Monitor Arm Mount,kwrd,10,85.00,MountMasters,,Batch_6702,Vivo,Mounts,5
Noise-Canceling Headphones,kwrd,18,199.00,AudioBliss,,Batch_9201,Bose,Headsets,5
Wireless Charging Pad,kwrd,40,25.00,ChargeNow,,Batch_7705,Anker,Chargers,5
USB-C Hub 7-in-1,kwrd,22,40.00,GadgetX,,Batch_3302,UGreen,Adapters,5
Gaming Laptop Backpack,kwrd,30,55.00,BackPackers,,Batch_8705,Razer,Bags,5
Smartwatch with Fitness Tracker,kwrd,20,149.00,HealthTech,,Batch_9905,Garmin,Wearables,5
VR Headset,kwrd,12,350.00,VirtualWorld,,Batch_5502,Meta,VR,5
Mechanical Keyboard Wrist Rest,kwrd,25,18.00,ComfortKeys,,Batch_4401,Generic,Accessories,5
1080p Portable Projector,kwrd,10,250.00,ProjectX,,Batch_7706,XGIMI,Projectors,5
USB Desk Fan,kwrd,40,12.00,AirFlow,,Batch_9906,Generic,Accessories,5
