item,keyword,Qty,Price,supplier,Barcode,batch,brand,category
Laptop Stand,ergonomic, stand,50,29.99,TechPro,123456789012,BATCH00123,Logitech,Accessories
Wireless Mouse,wireless, mouse,150,15.99,SmartGears,123456789013,BATCH0021123,Dell,Peripherals
Laptop Sleeve,sleeve, protection,120,19.99,CaseLogic,123456789014,BATCH00312312,HP,Bags & Sleeves
Bluetooth Keyboard,wireless, keyboard,80,49.99,Razer,123456789015,BATCH0041231,Microsoft,Peripherals
Cooling Pad,cooling, pad,100,25.99,ChillTech,123456789016,BATCH0056789,ASUS,Cooling
Laptop Docking Station,docking, station,30,129.99,Anker,123456789017,BATCH0066789,Lenovo,Connectivity
USB-C Hub,usb-c, hub,200,39.99,Ugreen,123456789018,BATCH0076789,Apple,Connectivity
External Hard Drive,external, hard drive,60,89.99,Seagate,123456789019,BATCH0086789,Toshiba,Storage
Laptop Charger,charger, power,150,35.99,Anker,123456789020,BATCH0096789,Acer,Power
Laptop Bag,laptop, bag,100,49.99,Samsonite,123456789021,BATCH0106789,HP,Bags & Sleeves
Privacy Screen,privacy, screen,70,22.99,Kantech,123456789022,BATCH0116789,Dell,Privacy & Security
Wireless Headset,wireless, headset,50,69.99,Bose,123456789023,BATCH012,Logitech,Audio
Laptop Footrest,footrest, ergonomic,40,19.99,Ergobro,123456789024,BATCH013,Microsoft,Ergonomics
Laptop Cooling Pad,cooling, laptop pad,110,24.99,Cooler Master,123456789025,BATCH014,ASUS,Cooling
Laptop Screen Cleaner,cleaner, screen,200,9.99,3M,123456789026,BATCH015,Lenovo,Cleaning & Care
Docking Hub,docking, hub,120,79.99,Belkin,123456789027,BATCH016,Apple,Connectivity
Mouse Pad,mouse, pad,150,12.99,SteelSeries,123456789028,BATCH017,HP,Peripherals
External Battery Pack,external, battery,50,69.99,Mophie,123456789029,BATCH018,Dell,Power
USB Flash Drive,usb, flash, storage,300,12.99,Kingston,123456789030,BATCH019,Toshiba,Storage
Screen Protector,protector, screen,100,7.99,Zagg,123456789031,BATCH020,Lenovo,Protection
Wireless Charger,wireless, charger,40,29.99,Anker,123456789032,BATCH021,Samsung,Power
Laptop Docking Station,docking, station,70,99.99,Plugable,123456789033,BATCH022,ASUS,Connectivity
Laptop Organizer,organizer, desk,90,19.99,Satechi,123456789034,BATCH023,HP,Accessories
Webcam Cover,webcam, cover,200,5.99,Targus,123456789035,BATCH024,Dell,Privacy & Security
Memory Card Reader,card reader, usb,150,12.99,Transcend,123456789036,BATCH025,Kingston,Storage
Laptop Bag Backpack,backpack, laptop,80,69.99,SwissGear,123456789037,BATCH026,Acer,Bags & Sleeves
USB-C Adapter,usb-c, adapter,120,14.99,Aukey,123456789038,BATCH027,Apple,Connectivity
Portable SSD,external, SSD,50,149.99,Samsung,123456789039,BATCH028,Seagate,Storage
Laptop Privacy Filter,filter, privacy,70,18.99,3M,123456789040,BATCH029,Dell,Privacy & Security
Laptop Screen Cleaner,cleaner, laptop,200,11.99,iKlear,123456789041,BATCH030,HP,Cleaning & Care
